"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Aug 03 06:18:41 UTC 2024","Sat Aug 03 06:18:42 UTC 2024","234","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Aug 03 07:01:17 UTC 2024","Sat Aug 03 07:01:27 UTC 2024","10204","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Aug 03 05:53:44 UTC 2024","Sat Aug 03 05:54:00 UTC 2024","16062","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Aug 03 06:22:26 UTC 2024","Sat Aug 03 06:22:41 UTC 2024","15052","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Aug 03 07:16:44 UTC 2024","Sat Aug 03 07:16:46 UTC 2024","2366","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"failed","Sat Aug 03 07:04:22 UTC 2024","Sat Aug 03 07:06:54 UTC 2024","152360","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Aug 03 06:22:42 UTC 2024","Sat Aug 03 06:22:47 UTC 2024","4811","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"failed","Sat Aug 03 07:01:41 UTC 2024","Sat Aug 03 07:04:22 UTC 2024","160671","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Aug 03 07:16:20 UTC 2024","Sat Aug 03 07:16:34 UTC 2024","13642","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Aug 03 07:01:10 UTC 2024","Sat Aug 03 07:01:12 UTC 2024","2606","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sat Aug 03 07:16:34 UTC 2024","Sat Aug 03 07:16:44 UTC 2024","9607","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"broken","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"failed","Sat Aug 03 06:18:42 UTC 2024","Sat Aug 03 06:20:37 UTC 2024","115322","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Aug 03 06:18:28 UTC 2024","Sat Aug 03 06:18:40 UTC 2024","12185","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Aug 03 07:09:55 UTC 2024","Sat Aug 03 07:14:03 UTC 2024","247884","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Aug 03 07:16:46 UTC 2024","Sat Aug 03 07:16:50 UTC 2024","4246","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Aug 03 07:01:06 UTC 2024","Sat Aug 03 07:01:10 UTC 2024","3273","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Aug 03 07:52:27 UTC 2024","Sat Aug 03 07:52:31 UTC 2024","4184","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"failed","Sat Aug 03 06:44:43 UTC 2024","Sat Aug 03 06:45:02 UTC 2024","19133","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Aug 03 06:22:41 UTC 2024","Sat Aug 03 06:22:42 UTC 2024","1396","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Aug 03 06:22:47 UTC 2024","Sat Aug 03 06:22:49 UTC 2024","1384","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"broken","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Aug 03 07:01:03 UTC 2024","Sat Aug 03 07:01:06 UTC 2024","2977","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Aug 03 07:01:29 UTC 2024","Sat Aug 03 07:01:41 UTC 2024","12201","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Aug 03 07:01:12 UTC 2024","Sat Aug 03 07:01:17 UTC 2024","4833","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Sat Aug 03 08:49:22 UTC 2024","Sat Aug 03 08:49:22 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"failed","Sat Aug 03 07:52:31 UTC 2024","Sat Aug 03 07:52:42 UTC 2024","11113","","21. Forgot password function","","","","2. Reset password",""
"skipped","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"failed","Sat Aug 03 05:49:11 UTC 2024","Sat Aug 03 05:51:56 UTC 2024","164898","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Aug 03 07:00:53 UTC 2024","Sat Aug 03 07:01:03 UTC 2024","10456","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Sat Aug 03 06:10:18 UTC 2024","Sat Aug 03 06:10:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Sat Aug 03 06:40:52 UTC 2024","Sat Aug 03 06:40:52 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Aug 03 07:09:41 UTC 2024","Sat Aug 03 07:09:55 UTC 2024","13999","","18. Check Admin header","","","","1. Log in using manager login",""
